time,ACB,BCM,BID,BMP,BVH,CII,CTD,CTG,DPM,EIB,FPT,GAS,GVR,HDB,HPG,HSG,KDC,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,REE,SAB,SBT,SHB,SSI,STB,TCB,TCH,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2018-06-06,0.03778633566613834,-0.10403548565079211,0.044792402190515085,0.022237256840484675,0.0019010207866864163,0.03998628844578753,0.04999273900706356,0.01827925990781724,-0.010909199100353621,-0.009013581305361524,0.01546249294217979,0.04182522843259051,0.0,0.0,0.02990548277890454,-0.0064809040840831155,0.04900757910669461,0.01814931850567727,0.002967361227802008,0.0011560694929187943,0.06601571570567014,0.0019285744862484664,0.050133347715899744,0.024028263513901967,0.032246802760775566,-0.007168489478612516,0.019196750270678013,-0.002630715098248583,-0.010372558815622936,0.012618463959211464,0.012615402630074235,0.030536723860081702,-0.04255961441879589,-0.026075096926198613,-0.018634079544892868,0.008442261196163396,0.016865264612478593,0.0,0.024423949407399715,0.009203969575395288,-0.011355693353673434,0.001003512377240109,0.0
2018-06-07,-0.021766276481954512,-0.048843131673880456,-0.019203383247640125,-0.011056817744798999,0.008447380497554106,-0.006554330580097544,-0.026553766179713768,-0.02058784115628723,0.05685367515101407,-0.0060545089087062605,-0.015462492942179919,-0.03278982282299084,0.04576841845558059,0.031065819574890532,0.018033979510214532,-0.03709034420955713,-0.019759149980462333,0.0,0.01178216869826017,0.02086684259451854,-0.01794591285628147,0.04309705813450449,-0.007699749301303003,-0.004474280394921077,-0.010171624633571626,-0.00722024797348702,-0.01919675027067795,0.004162108965676702,0.01970969481156295,-0.03509131981127006,-0.01751017500680246,-0.0228146777661714,0.06738126759260983,0.00155279534306082,0.0,-0.006425724920970445,0.0,0.02706192204295716,0.000877000713961054,0.02488948910822238,0.013001010448308085,0.0010025063496255707,-0.006623373615975936
2018-06-08,0.015767458252701236,0.0488431316738805,0.009356793410881314,-0.01278789804975584,0.0,-0.0018805835349622534,-0.013853740975445797,0.0069098163601865855,0.0034482792789159236,0.0,0.0033818091073810784,-0.021030894535157312,-0.0457684184555807,-0.02501619434906712,-0.010265274059594903,0.06908283595104873,-0.008908744889109555,0.0,-0.0058737320120939365,-0.01496287267671238,0.03877999975912351,-0.00920353447430358,-0.0077594957709111855,0.01897896659780275,0.0036322793545858377,-0.007272759329079809,0.0,-0.012317322777579458,0.0,0.012903404835907782,0.019436957876502507,-0.007722046093910278,0.06675380751327066,0.0,-0.009448889197932507,0.016780257896551323,0.0,0.007255170881172016,0.0,0.0,-0.0016453170946346964,0.04506149213111999,-0.01119409413625043
2018-06-11,-0.01088939979926832,-0.024666129890193834,-0.015840753645620435,-0.01458460465476284,0.0,-0.011834457647002796,0.01637963269476208,-0.016975716294901817,0.0,-0.005073577600701227,-0.008816605093337891,-0.0030666570439031615,0.0,-0.03560842746736765,-0.011240931161368713,0.011146711943502618,0.003350086885282027,-0.011577553342442787,-0.013343415173684335,-0.011843003815541875,0.014119542723643196,-0.009289026963266311,-0.013725705679874793,-0.028193734370781983,-0.009366937524242235,0.0,-0.0085158665489931,-0.00811070498113818,-0.006526829696684548,-0.022691411202070765,0.002883231214084935,-0.02353049741019416,0.03556984347091269,-0.06572878184165594,-0.0031695747612790672,-0.011957097421122012,0.0,-0.00483092726966558,0.0006572461623382202,0.02755047320449409,0.017257891007189604,0.026466573188163273,0.013406763264805615
2018-06-12,-0.02351022186554157,-0.02417700178368658,-0.04660450006868619,-0.03285512041679776,-0.026203483450199638,-0.007168489478612516,-0.021521560930490947,-0.024420276136454193,-0.03147112871222082,-0.022634711176874066,-0.02622648592050792,-0.05286348955706777,-0.012474174225175688,-0.025317807984289897,-0.018429657207633784,-0.054911739910261506,-0.014975944437880286,-0.022820276259057033,-0.028768070176442517,-0.030985069494757676,-0.021254785268323216,0.0018446167590193971,0.0,-0.022889055858534176,-0.022203555318958505,-0.022141125877213518,-0.01793631862076899,-0.016534879833790553,-0.0449621402613955,-0.02321829010200722,-0.014500012384753952,0.015748356968139112,-0.03798676307645134,-0.06946641239789586,-0.011173300598125189,-0.016983829183879785,-0.0168652646124786,-0.02948616565446354,0.0008756567985094423,-0.027550473204494014,0.004958783153139298,-0.013145729212502616,-0.013406763264805608
2018-06-13,-0.0036184455227110113,0.0,0.0024752487885429737,0.02301252127260368,-0.009973529988099144,-0.036634133179780384,0.027156512447807018,0.0023894873973814854,0.0,-0.009409374178927144,0.011818003377530795,0.04652001563489291,0.012474174225175818,0.003838776307165667,0.021034956119396948,0.015666116744399456,0.0,0.0,0.0015349197180837407,0.013249170364224737,0.020553522967495276,-0.005611479585946353,-0.003956483895074369,0.03332606864005703,-0.019977268346893434,0.007434978487517991,0.00254666431620765,-0.01646692440257127,-0.019763489118839635,0.013333530869465168,0.010653853797275807,0.0,0.004225783529564797,-0.06513076278946878,0.0,0.03250035294557325,0.0,0.0,0.028474745211764487,0.003898693747672314,0.0,-0.0018921481520379265,0.011194094136250402
2018-06-14,-0.021479031677124186,0.024177001783686536,-0.04681436703371552,0.0,-0.06119429719826457,-0.014028286163188094,-0.006240583916972555,-0.024155763879336038,0.007079675588061768,0.006282743179495209,-0.004849334061437595,-0.027464632909257627,-0.050858417233490966,-0.04572971801632587,-0.018381261505930734,0.03061463581960695,0.0,0.0,-0.029574139782476822,0.011907527684666418,0.003151814901226372,-0.01322860346488621,-0.002977669693924392,-0.004488887358060628,0.02317954825827804,-0.00743497848751809,-0.014370756529857616,-0.008452548442856676,0.012890609831077609,-0.020067563050809256,-0.04130380614123575,-0.01972450534777859,-0.0042257835295647014,0.03721359634043427,-0.006441246102856993,-0.030870360734642183,-0.00846720387129477,-0.030382083688122917,-0.01564708806874429,-0.026500366230681208,-0.005305664118634135,-0.04652001563489282,-0.01119409413625043
2018-06-15,0.01646648985357998,-0.02417700178368658,0.02368110662475062,0.021527250099167068,-0.017450013525491928,0.0060362356318502414,0.0074439534966052445,0.010539213888171105,-0.01959100947716975,-0.010493275715838768,-0.0027816429618768026,0.020165330427646105,0.0,-0.002677377770716403,0.008795131452827345,-0.007566240383315813,-0.048299903378589096,-0.0029828508320650245,0.024962294559913775,0.005828371445866408,0.006621386798277535,0.007585457396412673,0.022605385174364997,0.009362983116306052,0.0,0.014815085785140682,0.005647959789504072,0.006259438543231105,-0.02797385204240618,0.0067340321813441194,0.02772454801485477,-0.0120241929668017,0.002416919605538672,-0.06411243232204301,-0.008110344537453625,0.015353836972948575,-0.0042606396635361185,-0.0051546505886645375,-0.0200748613673066,-0.01149178620060863,0.0,-0.009970172319849915,0.011194094136250402
2018-06-18,-0.03580945269671089,0.0,-0.05995280452546307,-0.008425195657263577,0.005897236972878922,-0.0331409376160546,-0.06404422226372625,-0.046212843155131564,-0.01998249958733829,-0.013807972966334806,-0.023248669505708537,-0.06351340572232586,0.0,-0.06079219617794977,-0.06793013891420221,-0.023048395436291017,0.018824085245635617,-0.012021181576216868,-0.04894425924639924,-0.011690912053303472,-0.04802630176640001,-0.02484003111436903,-0.0038948442615410737,-0.042841522941347965,-0.05194789767459045,-0.022305757514298277,-0.051359168370644755,-0.011038280903220435,0.005053067851391201,-0.03413300636945847,-0.06976046511872284,-0.03278982282299084,-0.05075346616682951,0.03351199187332594,-0.029754261081792716,-0.04301297891417228,0.0,-0.028835549639887267,-0.000882028723114654,-0.04734998833600215,-0.04143896905106693,-0.011083236877982346,-0.06900488847897834
2018-06-19,-0.01972450534777859,-0.025346330110331126,-0.018299392374285166,-0.0344290873667248,-0.04759390391365415,0.0046547795449825196,-0.00783055757738948,-0.017895662925286594,-0.0279087881170765,-0.01075279177626185,-0.019432061609171918,-0.03394193042838715,-0.14645093052595534,0.0,-0.04602921807902858,-0.04911405081193944,-0.006235406017284022,-0.03538830808241641,-0.016313575491523794,-0.04895187061378615,-0.025841231183887328,-0.027434678910067727,-0.02369311225728799,-0.031578179630434994,-0.06372812306310965,-0.04517827385302976,-0.0032992441672193723,-0.03060737142657409,0.04243359841459675,-0.0317486983145803,-0.008412247294651967,-0.025317807984289897,-0.05146039272531091,-0.02382199357235684,0.005020931050099665,0.0,-0.012891932275404326,-0.03518630912504369,-0.003093241529569633,-0.03077235566710814,-0.037958250991974314,-0.03926124082355374,-0.05128380727658131
